Focus Position,Sobel Score,Laplacian Score
200,3517.9856,321.94083
300,3380.9185,302.97217
400,3487.4402,328.79163
500,3424.5435,309.8348
600,3423.4265,321.37228
700,3452.5261,321.14508
800,3485.1428,319.3486
900,3517.0325,320.39203
1000,3425.9204,309.739
1100,3479.2083,322.4721
1200,3491.6562,321.0932
1300,3515.782,319.99606
1400,3425.261,316.88867
